Sample Site Name,From,To,Mid Depth X,Mid Depth Y,Mid Depth Z,RASH,RFSI,TTHICK,ASEAM
R549,110.60,138.30,156.79,2654.12,2050.39,11.7,1.5,21.87,8R
R550,18.70,70.20,214.67,2726.46,2109.38,15.5,5.6,47.30,7R
R550,118.70,139.80,168.33,2731.15,2038.60,11.9,3.5,19.41,8R
R553,36.20,41.80,73.95,2770.93,2174.10,20.4,2.5,,10A
R555,6.20,74.70,177.54,2826.62,2101.26,12.5,1.9,,8R
R556,24.10,50.80,249.34,2811.19,2111.35,11.4,5.8,21.24,7R
R556,84.30,103.80,213.10,2813.82,2067.96,8.6,3.0,19.01,8R
R557,58.00,74.40,284.48,2706.24,2051.28,17.8,5.2,15.77,7R
R557,105.50,119.50,258.23,2705.33,2013.15,12.9,2.5,13.82,8R
R558,68.50,77.70,285.78,2654.17,2047.64,13.9,5.5,8.44,7R
R558,124.00,138.30,255.59,2657.87,1998.20,9.7,3.5,14.25,8R
R559,63.00,76.80,283.21,2902.45,2015.47,9.6,6.5,12.00,7R
R559,107.60,119.80,254.81,2902.28,1982.14,11.3,3.5,11.32,8R
R560,32.40,46.80,225.84,2910.44,2037.24,9.5,2.5,13.97,8R
R561,0.00,110.20,158.10,2407.60,2116.50,10.8,2.5,88.96,8R
R562,96.70,106.70,315.18,2762.72,2009.97,11.4,6.5,7.07,7R
R562,153.30,169.30,301.96,2762.37,1951.85,11.1,3.0,11.25,8R
R569,70.60,102.40,216.50,2794.00,2063.60,10.3,2.5,23.93,8R
R574,16.80,22.20,71.77,2778.29,2179.07,9.8,4.0,,10A
R575,24.60,29.60,71.80,2778.76,2170.63,15.5,3.0,,10A
R576,42.80,50.80,73.05,2780.21,2150.50,15.5,4.5,7.51,10A
R577,57.60,63.20,74.06,2720.65,2141.32,17.4,3.0,2.93,10A
R578,41.60,47.60,74.94,2720.98,2160.44,19.4,2.0,,10A
R579,35.40,38.40,199.96,2471.07,2165.83,16.6,3.0,,7R
R579,110.80,121.80,153.13,2471.07,2101.76,13.5,1.5,6.61,8R
R579,219.80,220.20,96.43,2471.07,2015.01,,,0.37,10A
R580,98.90,118.60,225.50,2400.60,2084.15,14.8,5.5,13.43,7R
R580,208.80,225.80,225.50,2400.60,1975.60,14.2,2.0,15.39,8R
R581,83.80,92.20,655.40,2867.30,1887.30,9.6,7.5,5.77,3L1
R581,98.00,99.90,655.40,2867.30,1876.35,25.3,5.0,,3LA
R581,109.70,123.30,655.40,2867.30,1858.80,6.6,7.0,8.79,4JG
R582,53.00,60.90,643.90,2802.80,1908.85,18.0,4.5,4.55,3L1
R582,85.80,97.70,643.90,2802.80,1874.05,8.5,7.0,8.61,4JG
R583,57.50,64.00,71.98,2752.00,2136.91,15.1,3.5,2.89,10A
R584,43.40,49.20,75.25,2751.60,2153.90,19.4,4.0,3.42,10A
R585,29.60,34.60,73.73,2751.30,2169.41,16.6,3.5,2.40,10A
R586,83.70,95.80,713.30,2721.40,1860.33,20.0,7.0,,3L1
R586,109.70,110.70,715.43,2721.51,1840.00,,,0.72,3LA
R586,115.70,125.40,716.52,2721.56,1829.70,8.7,7.5,6.96,4JG
R587,66.20,74.40,72.29,2685.70,2125.86,16.6,3.5,2.69,10A
R588,19.90,20.90,721.63,2644.69,1934.81,,,,3UB
R588,87.10,98.30,727.55,2645.95,1862.80,11.9,8.5,10.03,3L1
R588,123.20,137.80,731.72,2647.90,1825.28,9.9,7.5,10.48,4JG
R589,72.90,83.20,735.54,2544.40,1879.49,21.4,7.5,6.91,3L1
R589,119.40,136.50,742.81,2545.80,1830.15,13.4,6.5,12.32,4JG
R590,11.80,18.60,551.90,2605.90,2049.00,,,5.11,3L1
R590,29.40,30.80,551.90,2605.90,2034.10,,,,3LA
R590,74.60,90.40,551.90,2605.90,1981.70,15.0,0.1,,4JG
R592,36.60,42.70,581.20,2578.20,2022.95,13.9,0.1,4.31,3L1
R592,47.60,48.80,581.20,2578.20,2014.40,,,0.77,3LA
R592,98.40,112.70,581.20,2578.20,1957.05,9.4,5.5,12.33,4JG
R593,76.90,77.70,1049.00,2716.00,1750.00,,,,3UB
R593,153.40,167.40,1049.00,2716.00,1666.90,33.5,3.0,12.67,3L1
R593,182.20,193.90,1049.00,2716.00,1639.25,26.1,5.0,11.08,4JG
R594,1.40,12.30,923.00,3043.90,1813.15,8.8,0.1,9.49,K4
R594,32.30,34.40,923.00,3043.90,1786.65,,,,3UB
R594,91.40,97.50,923.00,3043.90,1725.55,26.7,4.5,5.25,3L1
R594,117.50,121.00,923.00,3043.90,1700.75,25.4,5.0,2.87,3LA
R595,37.70,45.50,709.70,3067.80,1832.80,5.8,8.0,5.35,4JG
R596,41.50,42.60,889.00,2705.10,1826.15,,,,3UB
R596,103.40,108.30,889.00,2705.10,1762.35,20.5,7.5,4.58,3L1
R596,184.40,195.20,889.00,2705.10,1678.40,20.6,6.0,10.20,4JG
R597,40.80,41.80,791.60,2887.90,1859.50,,,,3UB
R597,101.20,106.40,791.60,2887.90,1797.00,16.4,7.0,4.31,3L1
R597,120.50,138.40,791.60,2887.90,1771.35,5.8,7.5,14.24,4JG
R598DV,33.20,40.60,1057.10,3022.70,1748.80,21.6,4.5,7.04,K4
R598DV,54.60,55.40,1057.10,3022.70,1730.70,25.1,4.0,,3UB
R598DV,98.60,100.80,1057.10,3022.70,1686.00,,,2.07,3L1
R598DV,119.80,122.20,1057.10,3022.70,1664.70,24.3,6.0,2.29,3LA
R600,19.60,24.60,73.17,2651.34,2160.83,15.1,3.5,1.97,10A
R601,28.60,35.20,72.18,2651.86,2150.78,13.1,4.5,1.97,10A
R602,89.60,172.80,174.90,2609.00,2068.38,11.3,3.5,47.27,8R
R607,55.60,62.80,1271.00,2567.10,1742.30,,,,K4
R607,70.00,72.00,1271.00,2567.10,1730.50,,,,3UB
R607,115.40,121.20,1271.00,2567.10,1683.20,20.6,4.5,,3L1
R607,136.30,144.50,1271.00,2567.10,1661.10,36.0,2.0,8.16,3LA
R607,174.40,186.60,1271.00,2567.10,1621.00,28.9,5.5,12.15,4JG
R615,12.50,14.20,585.20,2357.00,2033.75,,,1.03,3LA
R615,66.80,80.60,585.20,2357.00,1973.40,18.7,6.0,11.04,4JG
R620DV,65.00,67.60,1219.60,2018.10,1796.30,,,,3UB
R620DV,77.60,78.80,1219.60,2018.10,1784.40,,,1.20,3L1
R620DV,86.20,88.80,1219.60,2018.10,1775.10,,,2.57,3LA
R620DV,150.10,154.00,1219.60,2018.10,1710.55,23.9,4.5,3.85,4JG
R624,2.60,4.90,907.20,2006.20,1923.75,,,2.07,K4
R624,38.10,43.60,907.20,2006.20,1886.65,,,,3UB
R624,99.40,105.50,907.20,2006.20,1825.05,24.1,6.0,5.74,3L1
R624,117.70,121.20,907.20,2006.20,1808.05,,,3.06,3LA
R627,51.60,60.40,694.00,2120.50,1967.50,9.8,7.5,8.79,3L1
R627,87.40,88.40,694.00,2120.50,1935.60,,,0.93,3LA
R627,107.50,117.40,694.00,2120.50,1911.05,11.9,6.5,9.59,4JG
R628,4.20,10.20,772.80,1937.00,2000.50,,,5.41,K4
R628,22.20,25.90,772.80,1937.00,1983.65,,,,3UB
R628,87.30,94.20,772.80,1937.00,1916.95,14.1,0.1,6.05,3L1
R628,104.40,112.20,772.80,1937.00,1899.40,31.0,0.1,6.43,3LA
R628,141.80,152.00,772.80,1937.00,1860.80,31.5,3.5,9.08,4JG
R629,26.80,29.60,895.00,1915.40,1917.40,,,,K4
R629,39.10,41.80,895.00,1915.40,1905.15,21.3,0.5,,3UB
R629,104.60,109.40,895.00,1915.40,1838.60,,,4.56,3L1
R629,121.80,126.40,895.00,1915.40,1821.50,,,4.34,3LA
R630,9.30,11.60,949.60,1885.90,1916.75,,,2.10,K4
R630,42.40,43.40,949.60,1885.90,1884.30,,,,3UB
R630,96.60,99.80,949.60,1885.90,1829.00,20.5,0.1,3.05,3L1
R630,112.40,115.00,949.60,1885.90,1813.50,33.6,0.1,,3LA
R631,30.80,33.20,982.80,1805.80,1900.50,,,2.24,K4
R631,55.70,56.80,982.80,1805.80,1876.25,,,,3UB
R631,102.80,107.60,982.80,1805.80,1827.30,16.7,4.5,,3L1
R631,121.60,123.60,982.80,1805.80,1809.90,,,,3LA
R632,28.40,30.60,1144.40,1879.40,1857.60,11.7,0.1,2.17,K4
R632,53.80,54.80,1144.40,1879.40,1832.80,9.2,6.0,,3UB
R632,96.20,99.80,1144.40,1879.40,1789.10,,,3.52,3L1
R636,132.60,137.20,1074.60,1730.80,1768.40,8.8,8.0,4.17,3L1
R636,145.60,149.00,1074.60,1730.80,1756.00,31.6,4.0,,3LA
R638DV,12.80,14.90,710.60,1844.70,2012.05,31.4,0.1,,3UB
R638DV,58.20,64.30,710.60,1844.70,1964.65,16.0,0.1,5.06,3L1
R638DV,86.40,89.20,710.60,1844.70,1938.10,,,,3LA
R642,58.40,64.80,812.10,1722.10,1890.50,10.4,0.1,5.80,3L1
R643,10.20,17.20,674.30,1734.50,1974.50,15.5,0.1,5.51,3L1
R643,38.80,40.10,674.30,1734.50,1948.75,,,,3LA
R645DV,0.00,4.80,489.50,1868.80,2087.00,21.4,0.1,4.75,4JG
R647,40.20,42.80,849.80,2433.10,1866.30,14.1,2.0,,3UB
R647,97.80,103.00,849.80,2433.10,1807.40,19.4,6.5,4.34,3L1
R647,132.20,148.80,849.80,2433.10,1767.30,21.3,5.0,13.88,4JG
R648,22.20,27.90,1219.00,2836.10,1728.55,12.1,7.0,5.63,K4
R648,43.70,50.00,1219.00,2836.10,1706.75,,,,3UB
R648,101.80,107.00,1219.00,2836.10,1649.20,15.8,6.5,5.18,3L1
R648,119.60,122.70,1219.00,2836.10,1632.45,19.8,4.5,,3LA
R651,17.00,24.40,1032.70,3132.20,1768.80,14.6,3.0,6.76,K4
R651,44.10,45.40,1032.70,3132.20,1744.75,,,,3UB
R651,108.30,111.10,1032.70,3132.20,1679.80,34.4,4.0,2.52,3L1
R653,58.20,77.40,593.70,2282.60,1972.80,14.7,5.0,12.47,4JG
R654,8.20,11.20,733.50,2060.90,2009.00,,,,3UB
R654,69.80,75.40,733.50,2060.90,1946.10,17.0,6.5,,3L1
R654,93.60,100.10,733.50,2060.90,1921.85,32.9,0.5,5.46,3LA
R654,123.30,131.80,733.50,2060.90,1891.15,18.8,7.0,7.57,4JG
R655,47.40,49.00,979.90,2177.70,1837.10,22.4,4.0,,3UB
R655,105.80,111.60,979.90,2177.70,1776.60,31.2,4.0,,3L1
R655,122.40,124.00,979.90,2177.70,1762.10,,,1.39,3LA
R657,1.80,11.20,921.80,3050.70,1814.20,,,8.14,K4
R657,31.00,33.30,921.80,3050.70,1788.55,,,,3UB
R657,90.90,97.50,921.80,3050.70,1726.50,29.8,4.5,5.70,3L1
R657,114.60,120.60,921.80,3050.70,1703.10,36.2,2.0,5.00,3LA
R657,169.40,182.60,921.80,3050.70,1644.70,28.3,4.0,12.32,4JG
R658,43.20,49.10,1181.30,3047.80,1707.55,,,5.63,K4
R658,62.10,64.20,1181.30,3047.80,1690.55,27.8,4.0,,3UB
R658,125.70,130.40,1181.30,3047.80,1625.65,19.5,4.5,4.52,3L1
R658,142.00,143.00,1181.30,3047.80,1611.20,28.4,3.0,0.97,3LA
R659,21.10,24.20,784.60,1839.10,1978.65,28.2,0.1,,3UB
R659,83.40,88.40,784.60,1839.10,1915.40,17.3,0.1,4.09,3L1
R659,102.20,108.60,784.60,1839.10,1895.90,,,,3LA
R660DV,56.00,62.20,1066.00,2891.30,1758.40,18.2,5.0,5.76,K4
R660DV,74.20,75.20,1066.00,2891.30,1742.80,29.3,3.0,,3UB
R660DV,139.80,143.60,1066.00,2891.30,1675.80,,,3.61,3L1
R660DV,162.80,167.60,1066.00,2891.30,1652.30,27.5,4.0,4.72,3LA
R661DV,51.20,57.30,1097.10,2829.90,1749.95,9.5,6.5,5.68,K4
R661DV,77.90,79.60,1097.10,2829.90,1725.45,16.9,5.5,,3UB
R661DV,123.80,128.80,1097.10,2829.90,1677.90,,,4.84,3L1
R661DV,207.20,217.40,1097.10,2829.90,1591.90,36.3,2.5,,4JG
R662,87.70,89.20,1003.70,2570.20,1775.25,,,,3UB
R662,136.00,142.40,1003.70,2570.20,1724.50,8.9,7.5,6.30,3L1
R662,174.20,183.80,1003.70,2570.20,1684.70,40.3,1.5,9.04,4JG
R664,81.50,83.00,1141.50,2523.30,1746.45,,,,3UB
R664,106.60,114.80,1141.50,2523.30,1718.00,22.2,4.0,8.13,3L1
R664,130.00,134.00,1141.50,2523.30,1696.70,25.9,4.5,3.96,3LA
R664,176.00,185.40,1141.50,2523.30,1648.00,,,9.30,4JG
R666DV,85.80,95.50,1238.20,2449.80,1714.75,27.9,4.5,9.48,3L1
R666DV,103.60,109.20,1238.20,2449.80,1699.00,20.8,4.0,,3LA
R667,54.40,57.00,896.80,2508.00,1832.10,,,,3UB
R667,108.60,113.80,896.80,2508.00,1776.60,17.2,7.0,4.80,3L1
R667,143.20,161.40,896.80,2508.00,1735.50,23.6,4.5,16.72,4JG
R669DV,7.40,12.00,873.70,2359.50,1893.40,,,4.18,K4
R669DV,39.20,43.60,873.70,2359.50,1861.70,21.5,0.5,,3UB
R669DV,97.80,104.20,873.70,2359.50,1802.10,20.8,6.0,5.99,3L1
R669DV,129.00,147.80,873.70,2359.50,1764.70,16.1,7.0,15.17,4JG
R670,65.40,68.00,965.50,2380.30,1825.60,,,,3UB
R670,127.50,132.20,965.50,2380.30,1762.45,20.8,6.0,4.41,3L1
R670,149.20,152.80,965.50,2380.30,1741.30,19.4,5.5,3.42,3LA
R670,202.10,206.00,965.50,2380.30,1688.25,16.5,6.5,3.73,4JG
R671,46.00,47.80,1220.50,2213.00,1773.10,,,,3UB
R671,62.40,71.10,1220.50,2213.00,1753.25,,,8.68,3L1
R671,78.80,81.20,1220.50,2213.00,1740.00,22.2,3.5,,3LA
R674,34.20,36.20,1215.30,2126.60,1798.50,,,1.93,K4
R674,55.20,58.30,1215.30,2126.60,1776.95,,,,3UB
R674,70.00,71.20,1215.30,2126.60,1763.10,11.3,5.5,1.20,3L1
R674,80.80,84.20,1215.30,2126.60,1751.20,16.4,5.5,3.40,3LA
R674,118.60,125.00,1215.30,2126.60,1711.90,28.7,1.0,6.25,4JG
R675,16.20,18.00,1077.70,1935.10,1867.00,,,1.74,K4
R675,45.60,46.80,1077.70,1935.10,1837.90,16.1,6.0,,3UB
R675,89.80,97.00,1077.70,1935.10,1790.70,26.2,1.0,7.01,3L1
R675,112.40,114.40,1077.70,1935.10,1770.70,,,1.93,3LA
R681,59.10,60.70,924.50,2401.60,1828.20,21.4,4.5,,3UB
R681,109.50,115.40,924.50,2401.60,1775.65,32.6,2.5,5.56,3L1
R681,185.00,188.40,924.50,2401.60,1701.40,22.5,7.5,3.17,4JG
